idx,model,e,se,sweep,orca,sfm,linear,static,scenario,dx_lo,dx_hi,dy_lo,dy_hi,spawn_width_x,spawn_width_y,human_count,mix_label,success_rate,success_std,collision_rate,collision_std,timeout_rate,timeout_std,avg_nav_time,nav_time_std,avg_min_dist,min_dist_std,avg_accel,avg_accel_std,avg_min_dist_overall,min_dist_overall_std,avg_path_irregularity,avg_path_irregularity_std,density_x,geometry_x,algorithm
7,MPC-CV,1,0,geometry,1,2,0,0,passing_crossing,-0.75,0.75,-5,5,1.5,10,3,O1/SF2/L0/S0,0.154,0.3609487498246808,0.81,0.39230090491866054,0.036,0.18629009635512028,22.204545454545453,7.739438475126703,0.20639292072212206,7.869153508186071,0.9225534765444271,0.019340590679267692,0.6809292795456742,0.057713628597495,7.303424960597073,1.7374929430937451,0.03,1.5,MPC-CV
8,MPC-CV,1,1,geometry,2,2,0,0,passing_crossing,-1.0,1.0,-5,5,2.0,10,4,O2/SF2/L0/S0,0.338,0.4730285403651665,0.646,0.47820915925983687,0.016,0.125475097130865,21.642011834319526,8.483003095287238,0.4664739362540578,3.499841502387337,0.7849982552013884,0.006988182867292252,0.6830766562311872,0.08597943232602788,7.641843840039737,2.1102461844586493,0.04,2.0,MPC-CV
9,MPC-CV,1,2,geometry,2,3,0,0,passing_crossing,-1.25,1.25,-5,5,2.5,10,5,O2/SF3/L0/S0,0.404,0.49069746280167376,0.596,0.49069746280167376,0.0,0.0,17.38118811881188,6.926916403826556,0.5746815707729824,3.387784312101362,0.8071934944035889,0.03558322250612935,0.7181473860018261,0.10932691502025071,6.3534845184410695,2.0981520596658716,0.05,2.5,MPC-CV
10,MPC-CV,1,3,geometry,3,3,0,0,passing_crossing,-1.5,1.5,-5,5,3.0,10,6,O3/SF3/L0/S0,0.518,0.4996758949559204,0.48,0.49959983987187184,0.002,0.044676615807377355,15.964285714285714,5.8417374388505126,0.6663115039249241,1.8690031495363735,0.836243638617054,0.030968292354217584,0.7332889621741532,0.13787127438169733,5.761072721019038,2.078019618822697,0.06,3.0,MPC-CV
11,MPC-CV,1,4,geometry,3,4,0,0,passing_crossing,-1.75,1.75,-5,5,3.5,10,7,O3/SF4/L0/S0,0.606,0.48863483297857513,0.394,0.48863483297857513,0.0,0.0,15.502475247524753,5.56448416047342,0.8481359478177606,1.484655732021558,0.9771047048196311,0.10075151466471582,0.7553748642753533,0.14701040775673557,5.273599115584445,1.8029954510013588,0.07,3.5,MPC-CV
12,MPC-CV,1,5,geometry,4,4,0,0,passing_crossing,-2.0,2.0,-5,5,4.0,10,8,O4/SF4/L0/S0,0.64,0.48,0.358,0.4794121400215059,0.002,0.044676615807377355,14.58984375,4.476188561498045,0.833515814336125,1.1692715879791833,1.0460217952996231,0.041961695886634676,0.7838664683722177,0.16065086950224203,4.749490282586909,1.5906773616734353,0.08,4.0,MPC-CV
13,MPC-CV,1,6,geometry,4,5,0,0,passing_crossing,-2.25,2.25,-5,5,4.5,10,9,O4/SF5/L0/S0,0.674,0.4687472666586974,0.326,0.4687472666586974,0.0,0.0,14.357566765578635,4.237186375655532,0.939753473228679,1.1882866426859968,1.1293801546672897,0.039237735979638304,0.8299192486360754,0.17344548716214386,4.354058334657854,1.5648512649796216,0.09,4.5,MPC-CV
14,MPC-CV,2,0,directionality,7,8,0,0,passing,-5.0,5.0,-5,5,10.0,10,15,O7/SF8/L0/S0,0.978,0.1466833323864713,0.022,0.14668333238647122,0.0,0.0,10.604294478527608,3.1914638773067088,1.520939938612314,0.08187674017987827,1.336794354325669,0.07021975884587252,0.9843636423347761,0.1905485602872747,1.8701226848972765,1.0336012667870154,0.15,10.0,MPC-CV
15,MPC-CV,2,1,directionality,7,8,0,0,crossing,-5.0,5.0,-5,5,10.0,10,15,O7/SF8/L0/S0,0.932,0.25174590364095295,0.068,0.251745903640953,0.0,0.0,14.454399141630901,3.7745529484771603,1.279014084506548,0.19701280336102095,1.3628997396724951,0.04160115960470749,0.8409142608262371,0.12723796949547778,3.47857546640571,0.8674068918088051,0.15,10.0,MPC-CV
16,MPC-CV,2,2,directionality,7,8,0,0,passing_crossing,-5.0,5.0,-5,5,10.0,10,15,O7/SF8/L0/S0,0.952,0.2137662274541983,0.048,0.2137662274541982,0.0,0.0,13.409663865546218,3.8956627321044803,1.3118968382872565,0.1271791619736616,1.4266809298432357,0.047097220722755,0.8573431390554006,0.13546547645127585,2.984855428758992,0.9474854395435367,0.15,10.0,MPC-CV
